f1_score : 0.90885329246521
acc : 0.9648798108100891

class              precision    recall  f1-score   support

          DT       0.81      0.85      0.83      1280
          LC       0.65      0.76      0.70      1034
          OG       0.72      0.75      0.74      1446
          PS       0.82      0.87      0.85      2440
          QT       0.89      0.94      0.91      1715
          TI       0.87      0.92      0.89       322

   micro avg       0.80      0.85      0.82      8237
   macro avg       0.79      0.85      0.82      8237
weighted avg       0.80      0.85      0.82      8237
